company_id,year,previous_pattern,new_pattern
SHREECEM,2020,Reinvestor,Growth Funded by Debt
SHREECEM,2021,Growth Funded by Debt,Reinvestor
SHRIRAMFIN,2018,Pre-Revenue,Liquidating Assets
SHRIRAMFIN,2019,Liquidating Assets,Pre-Revenue
SHRIRAMFIN,2023,Pre-Revenue,Liquidating Assets
SHRIRAMFIN,2024,Liquidating Assets,Pre-Revenue
SIEMENS,2018,Shareholder Returns,Reinvestor
SIEMENS,2020,Reinvestor,Shareholder Returns
SIEMENS,2021,Shareholder Returns,Reinvestor
SUNPHARMA,2014,Reinvestor,Growth Funded by Debt
SUNPHARMA,2015,Growth Funded by Debt,Reinvestor
SUNPHARMA,2021,Reinvestor,Shareholder Returns
SUNPHARMA,2022,Shareholder Returns,Reinvestor
SUNPHARMA,2023,Reinvestor,Growth Funded by Debt
SUNPHARMA,2024,Growth Funded by Debt,Reinvestor
TATACONSUM,2014,Cash Accumulator,Reinvestor
TATACONSUM,2016,Reinvestor,Shareholder Returns
TATACONSUM,2018,Shareholder Returns,Reinvestor
TATACONSUM,2019,Reinvestor,Shareholder Returns
TATACONSUM,2020,Shareholder Returns,Reinvestor
TATACONSUM,2024,Reinvestor,Growth Funded by Debt
TATAMOTORS,2015,Reinvestor,Growth Funded by Debt
TATAMOTORS,2016,Growth Funded by Debt,Reinvestor
TATAMOTORS,2017,Reinvestor,Growth Funded by Debt
TATAMOTORS,2022,Growth Funded by Debt,Reinvestor
TATAPOWER,2017,Reinvestor,Growth Funded by Debt
TATAPOWER,2018,Growth Funded by Debt,Reinvestor
TATAPOWER,2021,Reinvestor,Shareholder Returns
TATAPOWER,2022,Shareholder Returns,Reinvestor
TATAPOWER,2023,Reinvestor,Growth Funded by Debt
TATAPOWER,2024,Growth Funded by Debt,Reinvestor
TATASTEEL,2014,Reinvestor,Growth Funded by Debt
TATASTEEL,2015,Growth Funded by Debt,Reinvestor
TATASTEEL,2018,Reinvestor,Growth Funded by Debt
TATASTEEL,2019,Growth Funded by Debt,Reinvestor
TCS,2018,Reinvestor,Shareholder Returns
TCS,2021,Shareholder Returns,Reinvestor
TCS,2023,Reinvestor,Shareholder Returns
TECHM,2014,Growth Funded by Debt,Shareholder Returns
TECHM,2015,Shareholder Returns,Reinvestor
TECHM,2020,Reinvestor,Shareholder Returns
TECHM,2021,Shareholder Returns,Reinvestor
TECHM,2022,Reinvestor,Shareholder Returns
TECHM,2023,Shareholder Returns,Reinvestor
TITAN,2014,Reinvestor,Pre-Revenue
TITAN,2015,Pre-Revenue,Reinvestor
TITAN,2018,Reinvestor,Distress Signal
TITAN,2019,Distress Signal,Reinvestor
TITAN,2020,Reinvestor,Distress Signal
TITAN,2021,Distress Signal,Reinvestor
TITAN,2022,Reinvestor,Distress Signal
TITAN,2023,Distress Signal,Growth Funded by Debt
TITAN,2024,Growth Funded by Debt,Reinvestor
TORNTPHARM,2016,Growth Funded by Debt,Reinvestor
TORNTPHARM,2018,Reinvestor,Growth Funded by Debt
TORNTPHARM,2019,Growth Funded by Debt,Reinvestor
TORNTPHARM,2020,Reinvestor,Shareholder Returns
TORNTPHARM,2021,Shareholder Returns,Reinvestor
TORNTPHARM,2023,Reinvestor,Growth Funded by Debt
TORNTPHARM,2024,Growth Funded by Debt,Reinvestor
TRENT,2014,Growth Funded by Debt,Mixed
TRENT,2015,Mixed,Pre-Revenue
TRENT,2016,Pre-Revenue,Reinvestor
TRENT,2019,Reinvestor,Growth Funded by Debt
TRENT,2021,Growth Funded by Debt,Shareholder Returns
TRENT,2023,Shareholder Returns,Reinvestor
TVSMOTOR,2015,Reinvestor,Growth Funded by Debt
TVSMOTOR,2016,Growth Funded by Debt,Reinvestor
TVSMOTOR,2018,Reinvestor,Growth Funded by Debt
